symbol,date,open,high,low,close,change,changePercent,label
MSFT,2019-06-25,137.25,137.59,132.73,133.43,-3.82,-2.78,"June 25, 19"
MSFT,2019-06-24,137,138.4,137,137.78,0.78,0.56934,"June 24, 19"
MSFT,2019-06-21,136.58,137.73,136.46,136.97,0.39,0.28555,"June 21, 19"
MSFT,2019-06-20,137.45,137.66,135.72,136.95,-0.5,-0.36377,"June 20, 19"
MSFT,2019-06-19,135,135.93,133.81,135.69,0.69,0.51111,"June 19, 19"
MSFT,2019-06-18,134.19,135.24,133.57,135.16,0.97,0.72286,"June 18, 19"
MSFT,2019-06-17,132.63,133.73,132.53,132.85,0.22,0.16587,"June 17, 19"
MSFT,2019-06-14,132.26,133.79,131.64,132.45,0.19,0.14366,"June 14, 19"
MSFT,2019-06-13,131.98,133,131.56,132.32,0.34,0.25761,"June 13, 19"
MSFT,2019-06-12,131.4,131.97,130.71,131.49,0.09,0.06849315,"June 12, 19"
MSFT,2019-06-11,133.88,134.24,131.28,132.1,-1.78,-1.33,"June 11, 19"
MSFT,2019-06-10,132.4,134.08,132,132.6,0.2,0.15106,"June 10, 19"
MSFT,2019-06-07,129.19,132.25,128.26,131.4,2.21,1.71,"June 07, 19"
MSFT,2019-06-06,126.44,127.97,125.6,127.82,1.38,1.09,"June 06, 19"
MSFT,2019-06-05,124.95,125.87,124.21,125.83,0.88,0.70428,"June 05, 19"
MSFT,2019-06-04,121.28,123.28,120.65,123.16,1.88,1.55,"June 04, 19"
MSFT,2019-06-03,123.85,124.37,119.01,119.84,-4.01,-3.24,"June 03, 19"
MSFT,2019-05-31,124.23,124.62,123.32,123.68,-0.55,-0.44273,"May 31, 19"
MSFT,2019-05-30,125.26,125.76,124.78,125.73,0.47,0.37522,"May 30, 19"
MSFT,2019-05-29,125.38,125.39,124.04,124.94,-0.44,-0.35093,"May 29, 19"
MSFT,2019-05-28,126.98,128,126.05,126.16,-0.82,-0.64577,"May 28, 19"
MSFT,2019-05-24,126.91,127.42,125.97,126.24,-0.67,-0.52793,"May 24, 19"
MSFT,2019-05-23,126.2,126.29,124.74,126.18,-0.02,-0.01584786,"May 23, 19"
MSFT,2019-05-22,126.62,128.24,126.52,127.67,1.05,0.82925,"May 22, 19"
MSFT,2019-05-21,127.43,127.53,126.58,126.9,-0.53,-0.41591,"May 21, 19"
MSFT,2019-05-20,126.52,127.59,125.76,126.22,-0.3,-0.23712,"May 20, 19"
MSFT,2019-05-17,128.31,130.46,127.92,128.07,-0.24,-0.18705,"May 17, 19"
MSFT,2019-05-16,126.75,129.38,126.46,128.93,2.18,1.72,"May 16, 19"
MSFT,2019-05-15,124.26,126.71,123.7,126.02,1.76,1.42,"May 15, 19"
MSFT,2019-05-14,123.87,125.88,123.7,124.73,0.86,0.69428,"May 14, 19"
MSFT,2019-05-13,124.11,125.55,123.04,123.35,-0.76,-0.61236,"May 13, 19"
MSFT,2019-05-10,124.91,127.93,123.82,127.13,2.22,1.78,"May 10, 19"
MSFT,2019-05-09,124.29,125.79,123.57,125.5,1.21,0.97353,"May 09, 19"
MSFT,2019-05-08,125.44,126.37,124.75,125.51,0.07,0.05580357,"May 08, 19"
MSFT,2019-05-07,126.46,127.18,124.22,125.52,-0.94,-0.74332,"May 07, 19"
MSFT,2019-05-06,126.39,128.56,126.11,128.15,1.76,1.39,"May 06, 19"
